TSI NanoScan SMPS Model 3910
Mode,Scan
Serial Number,3910153602
Last Calibrated,2022/03/15


dN (#/cm3)

File Index,Sample #,Date Time,11.5,15.4,20.5,27.4,36.5,48.7,64.9,86.6,115.5,154.0,205.4,273.8,365.2,Total Conc,Median (nm),Mean (nm),Geo Mean (nm),Mode (nm),GSD,Particle Density (g/cc),Firmware Version,Status
1,30,2023/2/2 11:46:32,9.0287e+4,1.1473e+5,6.2870e+4,1.7154e+5,3.6430e+5,5.0034e+5,5.0429e+5,3.8425e+5,2.3354e+5,9.4586e+4,0.0000,0.0000,0.0000,252.0733,55.5763,61.1024,51.8259,64.9382,1.8367,1.2000,1.4,No errors
1,31,2023/2/2 11:47:32,2.4904e+4,6.1822e+4,1.4337e+5,2.9537e+5,3.1222e+5,3.3320e+5,4.2658e+5,5.5023e+5,5.1429e+5,2.7159e+5,0.0000,0.0000,0.0000,293.3567,69.9622,73.7872,61.9375,86.5964,1.8731,1.2000,1.4,Filling reservoir
1,32,2023/2/2 11:48:32,1.1661e+5,1.2450e+5,5.2843e+4,1.7215e+5,3.5399e+5,4.7592e+5,4.8395e+5,3.9112e+5,2.6477e+5,1.2868e+5,3451.0000,0.0000,0.0000,256.7973,56.4587,62.9139,52.4041,64.9382,1.9031,1.2000,1.4,Filling reservoir
1,33,2023/2/2 11:49:32,5.6972e+4,1.0300e+5,1.5705e+5,1.9687e+5,3.0388e+5,4.3893e+5,5.2527e+5,4.8341e+5,3.0894e+5,8.3579e+4,0.0000,0.0000,0.0000,265.7898,59.4241,63.1513,53.6098,64.9382,1.8366,1.2000,1.4,No errors
1,34,2023/2/2 11:50:32,4.8088e+4,9.2448e+4,1.1199e+5,1.6523e+5,2.4275e+5,3.7393e+5,5.1205e+5,5.6448e+5,4.3479e+5,1.7011e+5,0.0000,0.0000,0.0000,271.5866,68.7893,71.5849,60.8764,86.5964,1.8480,1.2000,1.4,No errors
1,35,2023/2/2 11:51:32,1.3312e+5,1.0735e+5,5.3181e+4,2.4124e+5,3.6402e+5,4.1761e+5,4.3479e+5,4.3541e+5,3.4241e+5,1.5649e+5,0.0000,0.0000,0.0000,268.5614,57.9634,64.8256,53.3857,86.5964,1.9447,1.2000,1.4,No errors
1,36,2023/2/2 11:52:32,9.6621e+4,1.3068e+5,1.0812e+5,2.1317e+5,3.0447e+5,3.8481e+5,4.4687e+5,4.6179e+5,3.6281e+5,1.6602e+5,0.0000,0.0000,0.0000,267.5357,61.0501,66.3515,54.5907,86.5964,1.9512,1.2000,1.4,No errors
1,37,2023/2/2 11:53:32,5.4269e+4,7.7591e+4,1.5722e+5,3.2778e+5,4.4498e+5,4.7437e+5,4.3666e+5,3.6507e+5,2.8163e+5,1.6851e+5,3.7112e+4,0.0000,0.0000,282.5182,53.1143,63.5134,52.3890,48.6968,1.8823,1.2000,1.4,No errors
1,38,2023/2/2 11:54:32,1.0550e+5,1.0581e+5,8.5094e+4,2.6676e+5,3.0224e+5,3.4218e+5,4.6144e+5,6.1196e+5,5.3364e+5,2.1453e+5,0.0000,0.0000,0.0000,302.9167,69.4246,71.7093,59.4656,86.5964,1.9437,1.2000,1.4,No errors
1,39,2023/2/2 11:55:32,5.2594e+4,1.4384e+5,1.3836e+5,2.0291e+5,3.8440e+5,5.3392e+5,5.4023e+5,3.8803e+5,1.8901e+5,4.1559e+4,0.0000,0.0000,0.0000,261.4840,52.8626,56.6640,48.7286,64.9382,1.7810,1.2000,1.4,No errors
1,40,2023/2/2 11:56:32,7.1445e+4,1.8234e+5,1.7110e+5,2.8773e+5,3.9316e+5,4.5852e+5,4.7161e+5,4.3566e+5,3.3908e+5,1.7885e+5,6150.0000,0.0000,0.0000,299.5633,54.7573,62.7659,51.2792,64.9382,1.9437,1.2000,1.4,No errors
1,41,2023/2/2 11:57:33,7.3581e+4,1.8600e+5,1.5638e+5,2.8212e+5,3.9178e+5,4.7777e+5,5.2094e+5,5.0502e+5,3.6930e+5,1.4383e+5,0.0000,0.0000,0.0000,310.6707,56.3930,62.6322,51.8496,64.9382,1.9123,1.2000,1.4,No errors
1,42,2023/2/2 11:58:33,7.6382e+4,1.5151e+5,1.7627e+5,2.8183e+5,3.1466e+5,3.6679e+5,4.6282e+5,5.4487e+5,4.5386e+5,1.9601e+5,0.0000,0.0000,0.0000,302.4980,62.7569,67.3514,55.1248,86.5964,1.9651,1.2000,1.4,No errors
1,43,2023/2/2 11:59:33,7.2755e+4,1.7678e+5,1.6546e+5,2.0561e+5,3.3152e+5,4.4713e+5,4.7780e+5,3.9703e+5,2.7881e+5,1.4247e+5,4401.0000,0.0000,0.0000,269.9778,55.2483,61.8272,50.7650,64.9382,1.9349,1.2000,1.4,No errors
1,44,2023/2/2 12:00:34,1.1723e+5,1.6426e+5,1.5780e+5,2.7911e+5,3.3558e+5,3.8953e+5,4.6734e+5,5.2707e+5,4.3460e+5,1.8866e+5,0.0000,0.0000,0.0000,306.1176,60.3486,65.7328,53.3447,86.5964,1.9951,1.2000,1.4,No errors
1,45,2023/2/2 12:01:33,6.7529e+4,1.5239e+5,2.1481e+5,2.3164e+5,3.6752e+5,5.2591e+5,5.9292e+5,4.8902e+5,2.7797e+5,6.9214e+4,0.0000,0.0000,0.0000,298.8920,55.0520,59.0582,49.9280,64.9382,1.8431,1.2000,1.4,No errors
1,46,2023/2/2 12:02:33,1.0465e+5,1.9170e+5,2.5106e+5,4.7106e+5,4.2675e+5,3.0146e+5,2.7892e+5,4.0887e+5,4.8273e+5,3.4704e+5,7.3764e+4,0.0000,0.0000,333.8005,53.1558,69.0033,52.5798,115.4782,2.1522,1.2000,1.4,No errors
1,47,2023/2/2 12:03:33,1.2811e+5,2.0128e+5,1.7912e+5,4.3331e+5,4.7992e+5,4.3551e+5,4.2789e+5,5.0361e+5,4.7051e+5,2.4999e+5,0.0000,0.0000,0.0000,350.9239,53.4690,63.5704,50.8063,86.5964,2.0169,1.2000,1.4,Filling reservoir
1,48,2023/2/2 12:04:33,6.6386e+4,1.5651e+5,2.4808e+5,3.9777e+5,4.5033e+5,4.4298e+5,4.1899e+5,3.8743e+5,2.8757e+5,1.2469e+5,0.0000,0.0000,0.0000,298.0740,48.1020,57.1496,46.8844,36.5174,1.9047,1.2000,1.4,Filling reservoir
1,49,2023/2/2 12:05:34,0.0000,1.6062e+5,4.0129e+5,4.3854e+5,4.3265e+5,4.4347e+5,4.5884e+5,4.1550e+5,2.8282e+5,1.0513e+5,0.0000,0.0000,0.0000,313.8858,46.9756,55.6712,46.1016,64.9382,1.8604,1.2000,1.4,Filling reservoir
1,50,2023/2/2 12:06:34,1499.0000,1.2546e+5,3.4767e+5,4.6408e+5,4.7891e+5,4.6258e+5,4.4966e+5,4.1332e+5,2.9506e+5,1.1734e+5,0.0000,0.0000,0.0000,315.5571,47.5274,56.7080,47.2590,36.5174,1.8379,1.2000,1.4,No errors
1,51,2023/2/2 12:07:34,7373.0000,1.8927e+5,3.8495e+5,4.8685e+5,5.1876e+5,5.0993e+5,4.7395e+5,3.9752e+5,2.7243e+5,1.1646e+5,0.0000,0.0000,0.0000,335.7499,45.1584,54.3882,45.1230,36.5174,1.8481,1.2000,1.4,No errors
1,52,2023/2/2 12:08:34,8.0337e+4,2.3029e+5,2.7579e+5,5.2902e+5,5.7786e+5,4.9772e+5,3.9775e+5,3.5787e+5,2.5453e+5,8.4041e+4,0.0000,0.0000,0.0000,328.5209,41.6722,51.4783,42.4280,36.5174,1.8716,1.2000,1.4,No errors
1,53,2023/2/2 12:09:34,4.4412e+4,1.9892e+5,3.2555e+5,5.5067e+5,5.2550e+5,3.9859e+5,3.2026e+5,3.5146e+5,3.3439e+5,1.9250e+5,1672.0000,0.0000,0.0000,324.3925,42.1388,56.6519,45.2935,27.3842,1.9552,1.2000,1.4,No errors
1,54,2023/2/2 12:10:34,5.1935e+4,2.4272e+5,3.3745e+5,5.1714e+5,5.4437e+5,4.8104e+5,4.0554e+5,3.6471e+5,2.8874e+5,1.4228e+5,0.0000,0.0000,0.0000,337.5913,42.4964,53.8825,43.7694,36.5174,1.9116,1.2000,1.4,No errors
1,55,2023/2/2 12:11:34,8.1478e+4,2.2526e+5,2.3909e+5,3.3695e+5,8.6366e+5,1.0960e+6,7.4760e+5,3.0483e+4,0.0000,9.9368e+4,4.4121e+5,5.0638e+5,2.0662e+5,487.4119,51.5613,97.3858,62.8975,48.6968,2.4675,1.2000,1.4,No errors
1,56,2023/2/2 12:12:35,1.0569e+5,2.1773e+5,5.0471e+5,1.0724e+6,1.0796e+6,7.3073e+5,3.9489e+5,3.3021e+5,3.5816e+5,2.8503e+5,1.0902e+5,0.0000,0.0000,518.8185,38.7964,54.1983,42.8088,36.5174,1.9334,1.2000,1.4,No errors
1,57,2023/2/2 12:13:35,0.0000,2.2962e+5,5.4922e+5,8.0153e+5,8.1741e+5,7.0875e+5,5.7940e+5,4.7205e+5,2.9996e+5,8.6715e+4,0.0000,0.0000,0.0000,454.4647,40.9716,50.0857,42.3193,36.5174,1.7765,1.2000,1.4,No errors
1,58,2023/2/2 12:14:35,1.8522e+5,2.5987e+5,2.9867e+5,7.9663e+5,7.9302e+5,5.1201e+5,2.9551e+5,3.5875e+5,4.1779e+5,2.8746e+5,4.8868e+4,0.0000,0.0000,425.3795,39.8320,56.6046,43.7376,27.3842,2.0421,1.2000,1.4,No errors
1,59,2023/2/2 12:15:35,1.1760e+5,1.7013e+5,2.5845e+5,6.4542e+5,7.3654e+5,5.9964e+5,4.1827e+5,3.4672e+5,2.7946e+5,1.5369e+5,1.4518e+4,0.0000,0.0000,374.0444,41.7690,53.2458,43.6097,36.5174,1.8769,1.2000,1.4,No errors
1,60,2023/2/2 12:16:35,1.3030e+5,2.6528e+5,3.1081e+5,6.2527e+5,7.2784e+5,6.2936e+5,4.5599e+5,3.4355e+5,2.5097e+5,1.3372e+5,1.2745e+4,0.0000,0.0000,388.5842,40.9001,50.9217,41.5929,36.5174,1.8869,1.2000,1.4,No errors
1,61,2023/2/2 12:17:35,9.9836e+4,1.8448e+5,3.4722e+5,6.8768e+5,7.4362e+5,6.0549e+5,4.4528e+5,3.7808e+5,3.0026e+5,1.5211e+5,0.0000,0.0000,0.0000,394.4063,41.3058,52.3192,43.0558,36.5174,1.8633,1.2000,1.4,No errors

